ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A117YH7,verkaufsprospekt,23.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Balance_23_05_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A117YH7\VKP_apo_Medical_Balance_23_05_2024.pdf,7231ce7aba4e66ca6ba33815c349919d,1.27 MiB
DE000A117YH7,priips,16.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A117YH7_1040354_DE_DE_2024-04-16_6613949f4ace0.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A117YH7\PRIIPS_DE000A117YH7_1040354_DE_DE_2024-04-16_6613949f4ace0.pdf,fe449727392150fcc1e007c86b8b8167,170.04 KiB
DE000A117YJ3,verkaufsprospekt,23.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Balance_23_05_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A117YJ3\VKP_apo_Medical_Balance_23_05_2024.pdf,7231ce7aba4e66ca6ba33815c349919d,1.27 MiB
DE000A117YJ3,priips,16.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A117YJ3_1040351_DE_DE_2024-04-16_6613943bbaf29.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A117YJ3\PRIIPS_DE000A117YJ3_1040351_DE_DE_2024-04-16_6613943bbaf29.pdf,76de4eccec8c5332f429b190ee7db91a,170.05 KiB
DE000A117YF1,verkaufsprospekt,06.06.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Core_06_06_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A117YF1\VKP_apo_Medical_Core_06_06_2024.pdf,8c09f9b98c31ae5e853979dc1c8c9af0,1.33 MiB
DE000A117YF1,priips,01.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A117YF1_1040957_DE_DE_2024-05-01_662b978ebfeb4.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A117YF1\PRIIPS_DE000A117YF1_1040957_DE_DE_2024-05-01_662b978ebfeb4.pdf,56f996b07046d91a3bdf49bd31599c53,173.06 KiB
DE000A3ETBT2,verkaufsprospekt,06.06.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Core_06_06_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3ETBT2\VKP_apo_Medical_Core_06_06_2024.pdf,8c09f9b98c31ae5e853979dc1c8c9af0,1.33 MiB
DE0005324305,verkaufsprospekt,01.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Mezzo_01_05_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE0005324305\VKP_apo_Mezzo_01_05_2024.pdf,c37e9f0af6819dd886c07168c1095b6b,1.24 MiB
DE0005324305,priips,01.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE0005324305_1040840_DE_DE_2024-05-01_662a26ae159ab.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE0005324305\PRIIPS_DE0005324305_1040840_DE_DE_2024-05-01_662a26ae159ab.pdf,e719346279ac910091a30aa199a0e2b6,172.00 KiB
DE000A2DP552,verkaufsprospekt,01.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Mezzo_01_05_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2DP552\VKP_apo_Mezzo_01_05_2024.pdf,c37e9f0af6819dd886c07168c1095b6b,1.24 MiB
DE000A2DP552,priips,01.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A2DP552_1040837_DE_DE_2024-05-01_662a26961e5e4.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2DP552\PRIIPS_DE000A2DP552_1040837_DE_DE_2024-05-01_662a26961e5e4.pdf,c70ff1c864b467086f5840b8f74b6046,172.40 KiB
